,size,avg_insert,max_insert,avg_find,max_find,collision_rate,time
351,35200.0,1.6921022727272728,31.0,1.6921022727272728,31.0,0.15181818181818182,0.229140043258667
352,35300.0,1.5926628895184136,22.0,1.5926628895184136,22.0,0.14237960339943342,0.22711443901062012
353,35400.0,1.6587288135593221,27.0,1.6587288135593221,27.0,0.1478954802259887,0.23805880546569824
354,35500.0,1.5998591549295775,38.0,1.5998591549295775,38.0,0.14291549295774647,0.22914743423461914
355,35600.0,1.618876404494382,23.0,1.618876404494382,23.0,0.14492977528089887,0.23664593696594238
356,35700.0,1.6475070028011205,27.0,1.6475070028011205,27.0,0.15002801120448178,0.22961187362670898
357,35800.0,1.6146927374301676,30.0,1.6146927374301676,30.0,0.14446927374301677,0.2271435260772705
358,35900.0,1.5949860724233984,27.0,1.5949860724233984,27.0,0.1431058495821727,0.2351365089416504
359,36000.0,2.3185277777777777,69.0,2.3185277777777777,69.0,0.17845833333333333,0.23523926734924316
360,36100.0,1.645180055401662,31.0,1.645180055401662,31.0,0.1476454293628809,0.24215126037597656
361,36200.0,1.6082596685082873,24.0,1.6082596685082873,24.0,0.14375690607734806,0.23569726943969727
362,36300.0,1.9728650137741046,59.0,1.9728650137741046,59.0,0.155633608815427,0.2416541576385498
363,36400.0,1.704478021978022,28.0,1.704478021978022,28.0,0.15630494505494505,0.2351243495941162
364,36500.0,1.6273698630136986,23.0,1.6273698630136986,23.0,0.14494520547945206,0.23882102966308594
365,36600.0,1.6477322404371584,24.0,1.6477322404371584,24.0,0.14752732240437158,0.23963642120361328
366,36700.0,1.5891553133514986,28.0,1.5891553133514986,28.0,0.14228882833787465,0.2376539707183838
367,36800.0,1.6769021739130434,30.0,1.6769021739130434,30.0,0.1514266304347826,0.23914217948913574
368,36900.0,1.8246341463414635,29.0,1.8246341463414635,29.0,0.16911924119241192,0.2361598014831543
369,37000.0,1.6492162162162163,31.0,1.6492162162162163,31.0,0.14672972972972972,0.23822402954101562
370,37100.0,1.6179514824797843,28.0,1.6179514824797843,28.0,0.14908355795148248,0.23813390731811523
371,37200.0,1.7004032258064516,41.0,1.7004032258064516,41.0,0.1496505376344086,0.2401106357574463
372,37300.0,1.582466487935657,24.0,1.582466487935657,24.0,0.1415549597855228,0.24361562728881836
373,37400.0,1.640187165775401,26.0,1.640187165775401,26.0,0.14779411764705883,0.24643349647521973
374,37500.0,1.76368,35.0,1.76368,35.0,0.15069333333333335,0.24662470817565918
375,37600.0,1.6586170212765958,28.0,1.6586170212765958,28.0,0.14849734042553192,0.24613213539123535
376,37700.0,1.5990185676392572,29.0,1.5990185676392572,29.0,0.14393899204244032,0.24712753295898438
377,37800.0,1.9774338624338625,32.0,1.9774338624338625,32.0,0.17936507936507937,0.24464130401611328
378,37900.0,1.5896042216358839,31.0,1.5896042216358839,31.0,0.14178100263852242,0.24913573265075684
379,38000.0,1.6851578947368422,33.0,1.6851578947368422,33.0,0.15017105263157896,0.2516491413116455
380,38100.0,1.6046194225721784,30.0,1.6046194225721784,30.0,0.1442782152230971,0.2526390552520752
381,38200.0,1.6134816753926702,29.0,1.6134816753926702,29.0,0.14450261780104712,0.2508995532989502
382,38300.0,1.5914360313315927,39.0,1.5914360313315927,39.0,0.14198433420365536,0.25217175483703613
383,38400.0,1.760546875,35.0,1.760546875,35.0,0.151796875,0.2511465549468994
384,38500.0,1.6756363636363636,28.0,1.6756363636363636,28.0,0.15198701298701298,0.24849486351013184
385,38600.0,1.60720207253886,25.0,1.60720207253886,25.0,0.14417098445595855,0.24864578247070312
386,38700.0,1.818268733850129,25.0,1.818268733850129,25.0,0.16954780361757105,0.2550387382507324
387,38800.0,1.6257731958762887,32.0,1.6257731958762887,32.0,0.1467396907216495,0.2526357173919678
388,38900.0,1.5953213367609254,31.0,1.5953213367609254,31.0,0.1433033419023136,0.2511584758758545
389,39000.0,1.720051282051282,45.0,1.720051282051282,45.0,0.15283333333333332,0.25363612174987793
390,39100.0,1.6253452685421994,33.0,1.6253452685421994,33.0,0.1462148337595908,0.26214599609375
391,39200.0,1.8563520408163265,50.0,1.8563520408163265,50.0,0.16357142857142856,0.25693273544311523
392,39300.0,1.6135368956743004,40.0,1.6135368956743004,40.0,0.14478371501272264,0.2621018886566162
393,39400.0,1.6074365482233504,31.0,1.6074365482233504,31.0,0.14390862944162436,0.2611420154571533
394,39500.0,1.6094683544303798,31.0,1.6094683544303798,31.0,0.1419493670886076,0.25808143615722656
395,39600.0,2.079848484848485,49.0,2.079848484848485,49.0,0.17563131313131314,0.2641267776489258
396,39700.0,1.597632241813602,24.0,1.597632241813602,24.0,0.14239294710327455,0.25615525245666504
397,39800.0,1.5984170854271358,27.0,1.5984170854271358,27.0,0.1439321608040201,0.25733470916748047
398,39900.0,1.6405513784461152,35.0,1.6405513784461152,35.0,0.14917293233082707,0.2572147846221924
399,40000.0,1.948325,54.0,1.948325,54.0,0.1555375,0.266157865524292
400,40100.0,1.5873067331670823,24.0,1.5873067331670823,24.0,0.1409226932668329,0.26064467430114746
401,40200.0,1.6457462686567164,28.0,1.6457462686567164,28.0,0.14690298507462687,0.26116180419921875
402,40300.0,1.5923573200992556,35.0,1.5923573200992556,35.0,0.14232009925558312,0.25713109970092773
403,40400.0,1.6410643564356435,26.0,1.6410643564356435,26.0,0.1473638613861386,0.2598738670349121
404,40500.0,1.9070123456790125,41.0,1.9070123456790125,41.0,0.17450617283950617,0.26115894317626953
405,40600.0,1.6636453201970443,32.0,1.6636453201970443,32.0,0.15119458128078817,0.265155553817749
406,40700.0,1.6202211302211302,24.0,1.6202211302211302,24.0,0.14377149877149878,0.2636690139770508
407,40800.0,1.7641421568627451,61.0,1.7641421568627451,61.0,0.15230392156862746,0.2631258964538574
408,40900.0,1.5848655256723716,29.0,1.5848655256723716,29.0,0.142359413202934,0.27118682861328125
409,41000.0,1.6697317073170732,30.0,1.6697317073170732,30.0,0.1481219512195122,0.2725510597229004
410,41100.0,1.6016058394160584,27.0,1.6016058394160584,27.0,0.1425669099756691,0.27245044708251953
411,41200.0,1.6585679611650486,24.0,1.6585679611650486,24.0,0.1483131067961165,0.273151159286499
412,41300.0,1.6289346246973366,29.0,1.6289346246973366,29.0,0.14753026634382566,0.27216482162475586
413,41400.0,1.9327777777777777,36.0,1.9327777777777777,36.0,0.17484299516908214,0.27114176750183105
414,41500.0,1.601277108433735,29.0,1.601277108433735,29.0,0.14256626506024098,0.27024245262145996
415,41600.0,1.6853846153846155,24.0,1.6853846153846155,24.0,0.15252403846153847,0.2731616497039795
416,41700.0,1.6254196642685852,30.0,1.6254196642685852,30.0,0.14443645083932855,0.27014613151550293
417,41800.0,1.6489952153110048,28.0,1.6489952153110048,28.0,0.14828947368421053,0.2721571922302246
418,41900.0,1.5798806682577566,24.0,1.5798806682577566,24.0,0.14083532219570405,0.2741403579711914
419,42000.0,1.7780238095238095,36.0,1.7780238095238095,36.0,0.15932142857142856,0.27221083641052246
